recordType,university,courseCode,courseName,courseCredits,courseLevel,subject,verificationStatus,sourceType,sourceUrl,sourceRetrievedAt,note
course,Göteborgs universitet,AE1040,Västsveriges arkeologi,7.5,grundnivå,Arkeologi,verified,official-gu,https://www.gu.se/studera/hitta-utbildning/vastsveriges-arkeologi-ae1040,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,AE2009,Avancerade arkeologiska materialstudier inom ramen för fältprojekt,15,avancerad nivå,Arkeologi,verified,official-gu,https://www.gu.se/studera/hitta-utbildning/avancerade-arkeologiska-materialstudier-inom-ramen-for-faltprojekt-ae2009,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,AN1017,Antikens arkitektur,7.5,grundnivå,Antikens kultur och samhällsliv,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,AN1060,Gladiator. Antiken i populärkulturen,7.5,grundnivå,Antikens kultur och samhällsliv,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,AN1072,På teatern i Athen,7.5,grundnivå,Antikens kultur och samhällsliv,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,AN1075,Romerska stadsmiljöer,7.5,grundnivå,Antikens kultur och samhällsliv,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,AN1079,Pompeji - en antik stad då och nu,15,grundnivå,Antikens kultur och samhällsliv,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,AN1085,Från krigare till filosof. Antikens texter i översättning,15,grundnivå,Antikens kultur och samhällsliv,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,AN1096,Olympiska spel och idrott under antiken,7.5,grundnivå,Antikens kultur och samhällsliv,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,FEK315,"Marknadsföring, kandidatuppsats",15,grundnivå,Företagsekonomi,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,FEK325,"Management, kandidatuppsats",15,grundnivå,Företagsekonomi,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,FEK335,"Redovisning, kandidatuppsats",15,grundnivå,Företagsekonomi,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,FEK345,"Industrial and Financial Management, kandidatuppsats",15,grundnivå,Företagsekonomi,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,FEK3L2,"Operativ styrning, kandidatkurs",7.5,grundnivå,Företagsekonomi,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
